web_scraper_order,web_scraper_start_url,price,name,location,image
"1765197157-43","https://sn.coinafrique.com/categorie/autres-animaux?page=6","4 000CFA","Biscuit en poudre pour betail","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png"
"1765197157-44","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png"
"1765197157-45","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453830_uploaded_image1_1578583361.91.png"
"1765197157-46","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1441558_uploaded_image1_1578406878.24.png"
"1765197157-47","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Oies toulouse","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1765197157-48","https://sn.coinafrique.com/categorie/autres-animaux?page=6","400 000CFA","Cheval","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png"
"1765197157-49","https://sn.coinafrique.com/categorie/autres-animaux?page=6","400 000CFA","Cheval","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421196_uploaded_image1_1578050637.48.png"
"1765197157-50","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Oies de guinée","Thies, Sénégal","https://images.coinafrique.com/thumb_1417652_uploaded_image1_1577968881.34.png"
"1765197157-51","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Dakar, Sénégal","https://images.coinafrique.com/thumb_1395711_uploaded_image1_1577438640.7.png"
"1765197157-52","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1395598_uploaded_image1_1577437294.33.png"
"1765197157-53","https://sn.coinafrique.com/categorie/autres-animaux?page=6","20 000CFA","Oiseaux exotiques","Dakar, Sénégal","https://images.coinafrique.com/thumb_1393968_uploaded_image1_1577393598.45.png"
